Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
keep,19,19,702.86,4.42,2.04,1.00
knee,19,19,14.69,4.42,2.52,1.00
lion,19,19,15.35,4.42,1.74,1.00
meat,19,19,43.65,4.42,1.57,1.00
queen,19,19,54.69,4.42,1.57,1.00
silent,19,19,23.00,4.42,1.74,1.00
soda,19,19,19.84,4.42,1.35,1.00
sticker,19,19,2.78,4.42,2.29,1.00
tape,19,19,68.84,4.42,1.43,1.00
thumb,19,19,11.82,4.42,2.36,1.00
truth,19,19,192.18,4.42,2.06,1.00
word,19,19,235.55,4.42,1.74,1.00
cut,21,21,229.76,4.43,1.72,1.00
grownup,21,21,1.39,4.43,1.83,1.00
cereal,18,18,6.35,4.44,1.89,1.00
floor,19,18,100.63,4.44,1.98,0.95
hurry,18,18,173.65,4.44,1.85,1.00
learn,18,18,118.57,4.44,1.42,1.00
policeman,18,18,11.73,4.44,2.01,1.00
rainstorm,19,18,0.80,4.44,1.46,0.95
squirrel,18,18,5.47,4.44,1.92,1.00
stone,18,18,40.63,4.44,1.20,1.00
because,21,21,1071.02,4.44,2.08,1.00
everything,22,22,654.88,4.44,1.49,1.00
from,21,21,2039.06,4.44,2.24,1.00
hush,22,22,7.61,4.44,1.88,1.00
with,21,21,5048.33,4.44,1.59,1.00
angry,20,20,58.98,4.45,1.90,1.00
build,20,20,48.08,4.45,1.57,1.00
paint,20,20,36.80,4.45,1.32,1.00
asleep,19,19,49.82,4.47,1.68,1.00
chalk,19,19,3.59,4.47,1.17,1.00
glass,19,19,60.71,4.47,1.65,1.00
hide,19,19,69.69,4.47,2.14,1.00
